Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-10-05,4.0,4.0,25.298,ATL,GNB,L 16-30,False,1,2,50.0,1,1,100.0,0,4,0,0%,0,0%,7,30%,True,Elliott Fry,False,16,30
2021.0,2021-09-12,1.0,1.0,,ATL,PHI,L 6-32,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Elliott Fry,False,6,32
2021.0,2021-09-19,2.0,2.0,,ATL,TAM,L 25-48,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Elliott Fry,False,25,48
2021.0,2021-10-10,5.0,5.0,,ATL,NYJ,W 27-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Elliott Fry,True,27,20
2021.0,2021-10-24,6.0,7.0,,ATL,MIA,W 30-28,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Elliott Fry,True,30,28
2021.0,2021-10-31,7.0,8.0,,ATL,CAR,L 13-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Elliott Fry,False,13,19
2021.0,2021-11-07,8.0,9.0,,ATL,NOR,W 27-25,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Elliott Fry,True,27,25
2021.0,2021-11-14,9.0,10.0,,ATL,DAL,L 3-43,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Elliott Fry,False,3,43
2021.0,2021-12-26,15.0,16.0,27.014,KAN,PIT,W 36-10,False,3,4,75.0,3,4,75.0,0,12,0,0%,0,0%,16,62%,False,Elliott Fry,True,36,10
2021.0,2022-01-02,16.0,17.0,,GNB,MIN,W 37-10,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Elliott Fry,True,37,10
2021.0,2022-01-09,17.0,18.0,27.028,CIN,CLE,L 16-21,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,6,24%,True,Elliott Fry,False,16,21
,3 Games,,,,,,1-2-0,False,5,7,71.4,5,6,83.3,0,20,,,,,,,False,Elliott Fry,False,2,0
