Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,23.077,TAM,,CAR,L 14-20,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,2,8%,False,Patrick Murray
2014,2014-09-14,2,2,23.084,TAM,,STL,L 17-19,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,4,17%,False,Patrick Murray
2014,2014-09-18,3,3,23.088,TAM,@,ATL,L 14-56,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0%,0,0%,2,6%,True,Patrick Murray
2014,2014-09-28,4,4,23.098,TAM,@,PIT,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,5,17%,True,Patrick Murray
2014,2014-10-05,5,5,23.105,TAM,@,NOR,L 31-37,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,5,16%,True,Patrick Murray
2014,2014-10-12,6,6,23.112,TAM,,BAL,L 17-48,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,4,12%,False,Patrick Murray
2014,2014-10-26,7,8,23.126,TAM,,MIN,L 13-19,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,3,10%,False,Patrick Murray
2014,2014-11-02,8,9,23.133,TAM,@,CLE,L 17-22,False,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0%,0,0%,5,19%,True,Patrick Murray
2014,2014-11-09,9,10,23.140,TAM,,ATL,L 17-27,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,3,12%,False,Patrick Murray
2014,2014-11-16,10,11,23.147,TAM,@,WAS,W 27-7,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,5,21%,True,Patrick Murray
2014,2014-11-23,11,12,23.154,TAM,@,CHI,L 13-21,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,3,10%,True,Patrick Murray
2014,2014-11-30,12,13,23.161,TAM,,CIN,L 13-14,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,3,12%,False,Patrick Murray
2014,2014-12-07,13,14,23.168,TAM,@,DET,L 17-34,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,3,10%,True,Patrick Murray
2014,2014-12-14,14,15,23.175,TAM,@,CAR,L 17-19,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,3,11%,True,Patrick Murray
2014,2014-12-21,15,16,23.182,TAM,,GNB,L 3-20,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0%,0,0%,1,5%,False,Patrick Murray
2014,2014-12-28,16,17,23.189,TAM,,NOR,L 20-23,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,4,17%,False,Patrick Murray
